datetime,open,high,low,close,volume
2020-01-02 00:00:00,1.12119,1.12159,1.12081,1.12147,414
2020-01-02 01:00:00,1.12147,1.1222,1.12146,1.12188,755
2020-01-02 02:00:00,1.12188,1.12192,1.12156,1.12183,704
2020-01-02 03:00:00,1.12183,1.12245,1.12181,1.1221,1001
2020-01-02 04:00:00,1.12209,1.12246,1.12184,1.12224,738
2020-01-02 05:00:00,1.12225,1.12231,1.12124,1.12133,843
2020-01-02 06:00:00,1.12133,1.12144,1.12009,1.12012,888
2020-01-02 07:00:00,1.12011,1.12044,1.1201,1.12044,943
2020-01-02 08:00:00,1.12044,1.12076,1.12038,1.12076,986
2020-01-02 09:00:00,1.1208,1.12102,1.12044,1.12098,2065
2020-01-02 10:00:00,1.12098,1.12138,1.12052,1.1212,2325
2020-01-02 11:00:00,1.1212,1.1214,1.12012,1.12031,1774
2020-01-02 12:00:00,1.12031,1.12038,1.11928,1.11983,1822
2020-01-02 13:00:00,1.11982,1.12022,1.11842,1.11848,2223
2020-01-02 14:00:00,1.11848,1.11943,1.1183,1.1193,1865
2020-01-02 15:00:00,1.1193,1.11971,1.11896,1.11963,2254
2020-01-02 16:00:00,1.11963,1.11964,1.11701,1.1174,3645
2020-01-02 17:00:00,1.11741,1.12024,1.1171,1.12006,4165
2020-01-02 18:00:00,1.12006,1.12031,1.11652,1.11662,3606
2020-01-02 19:00:00,1.11662,1.11718,1.11636,1.11698,2111
2020-01-02 20:00:00,1.11699,1.11723,1.11636,1.11702,1812
2020-01-02 21:00:00,1.11702,1.11704,1.11643,1.11664,1618
2020-01-02 22:00:00,1.11663,1.11716,1.11659,1.11692,1215
2020-01-02 23:00:00,1.11692,1.11734,1.11691,1.11726,598
2020-01-03 00:00:00,1.11717,1.11726,1.11688,1.11712,367
2020-01-03 01:00:00,1.11712,1.11735,1.11702,1.11708,448
2020-01-03 02:00:00,1.11708,1.11761,1.11698,1.11755,691
2020-01-03 03:00:00,1.11754,1.11785,1.11723,1.11736,1184
2020-01-03 04:00:00,1.11736,1.11776,1.11719,1.11726,1950
2020-01-03 05:00:00,1.11726,1.11737,1.11696,1.11722,1218
2020-01-03 06:00:00,1.11722,1.1175,1.11686,1.117,904
2020-01-03 07:00:00,1.117,1.11706,1.11644,1.11664,1499
2020-01-03 08:00:00,1.11664,1.11696,1.1164,1.11692,1175
2020-01-03 09:00:00,1.11692,1.11716,1.11522,1.11533,3632
2020-01-03 10:00:00,1.11533,1.11605,1.11506,1.11512,3109
2020-01-03 11:00:00,1.11512,1.11524,1.114,1.11402,2936
2020-01-03 12:00:00,1.11402,1.11434,1.11306,1.11361,3113
2020-01-03 13:00:00,1.11361,1.11361,1.1125,1.11299,2704
2020-01-03 14:00:00,1.11299,1.11426,1.11282,1.1139,2230
